Region,Month of Period End,Median Sale Price,Median Sale Price MoM,Inventory,Inventory MoM,Supply,Mortgage Interested Rate 30
"Lakeville, MN",2020-06-01 00:00:00,376000,-0.025,233,-0.045,1.6,3.1625
"Lakeville, MN",2020-07-01 00:00:00,403000,0.07200000000000001,239,0.026000000000000002,1.2,3.016
"Lakeville, MN",2020-08-01 00:00:00,411000,0.021,224,-0.063,1.2,2.935
"Lakeville, MN",2020-09-01 00:00:00,390000,-0.052000000000000005,229,0.022000000000000002,1.4,2.89
"Lakeville, MN",2020-10-01 00:00:00,396000,0.015,204,-0.109,1.0,2.834
"Lakeville, MN",2020-11-01 00:00:00,388000,-0.019,176,-0.13699999999999998,1.2,2.765
"Lakeville, MN",2020-12-01 00:00:00,400000,0.03,147,-0.165,1.1,2.684
"Lakeville, MN",2021-01-01 00:00:00,435000,0.087,115,-0.218,1.4,2.735
"Lakeville, MN",2021-02-01 00:00:00,423000,-0.026000000000000002,108,-0.061,1.0,2.81
"Lakeville, MN",2021-03-01 00:00:00,426000,0.006,129,0.19399999999999998,1.1,3.0825
"Lakeville, MN",2021-04-01 00:00:00,430000,0.011000000000000001,135,0.047,0.9,3.06
"Lakeville, MN",2021-05-01 00:00:00,425000,-0.013000000000000001,118,-0.126,0.9,2.9625
"Lakeville, MN",2021-06-01 00:00:00,439000,0.034,131,0.11,0.6,2.975
"Lakeville, MN",2021-07-01 00:00:00,441000,0.005,134,0.023,0.8,2.868
"Lakeville, MN",2021-08-01 00:00:00,436000,-0.011000000000000001,139,0.037000000000000005,0.8,2.8425
"Lakeville, MN",2021-09-01 00:00:00,425000,-0.026000000000000002,177,0.273,1.1,2.9
"Lakeville, MN",2021-10-01 00:00:00,451000,0.061,163,-0.079,1.1,3.0675
"Lakeville, MN",2021-11-01 00:00:00,448000,-0.006,138,-0.153,1.2,3.0675
"Lakeville, MN",2021-12-01 00:00:00,460000,0.027000000000000003,116,-0.159,1.1,3.098
"Lakeville, MN",2022-01-01 00:00:00,468000,0.016,110,-0.052000000000000005,2.1,3.445
"Lakeville, MN",2022-02-01 00:00:00,502000,0.073,130,0.182,1.7,3.7625
"Lakeville, MN",2022-03-01 00:00:00,520000,0.036000000000000004,164,0.262,1.8,4.172
"Lakeville, MN",2022-04-01 00:00:00,523000,0.005,182,0.11,1.5,4.9825
"Lakeville, MN",2022-05-01 00:00:00,455000,-0.129,206,0.132,1.5,5.23
"Lakeville, MN",2022-06-01 00:00:00,475000,0.044000000000000004,252,0.223,1.5,5.522
"Lakeville, MN",2022-07-01 00:00:00,455000,-0.042,285,0.131,2.1,5.4125
"Lakeville, MN",2022-08-01 00:00:00,484000,0.064,274,-0.039,1.8,5.2225
"Lakeville, MN",2022-09-01 00:00:00,492000,0.016,291,0.062,2.2,6.112
"Lakeville, MN",2022-10-01 00:00:00,455000,-0.075,262,-0.1,2.6,6.9
"Lakeville, MN",2022-11-01 00:00:00,460000,0.01,244,-0.069,2.9,6.805
"Lakeville, MN",2022-12-01 00:00:00,495000,0.077,194,-0.205,2.5,6.364
"Lakeville, MN",2023-01-01 00:00:00,520000,0.051,178,-0.08199999999999999,3.2,6.2725
"Lakeville, MN",2023-02-01 00:00:00,478000,-0.08199999999999999,180,0.011000000000000001,2.8,6.2575
"Lakeville, MN",2023-03-01 00:00:00,490000,0.026000000000000002,207,0.15,2.4,6.544
"Lakeville, MN",2023-04-01 00:00:00,432000,-0.11699999999999999,220,0.063,2.6,6.3425
"Lakeville, MN",2023-05-01 00:00:00,451000,0.043,222,0.009000000000000001,2.2,6.425
"Lakeville, MN",2023-06-01 00:00:00,487000,0.08,236,0.063,2.0,6.714
"Lakeville, MN",2023-07-01 00:00:00,475000,-0.025,244,0.034,2.1,6.84
"Lakeville, MN",2023-08-01 00:00:00,518000,0.091,260,0.066,2.1,7.072
"St. Louis, MO",2018-01-01 00:00:00,139000,-0.096,1382,-0.028999999999999998,4.3,4.0325
"St. Louis, MO",2018-02-01 00:00:00,146000,0.05,1465,0.06,4.2,4.33
"St. Louis, MO",2018-03-01 00:00:00,147000,0.004,1534,0.047,3.2,4.444
"St. Louis, MO",2018-04-01 00:00:00,149000,0.013999999999999999,1590,0.037000000000000005,3.0,4.4675
"St. Louis, MO",2018-05-01 00:00:00,165000,0.107,1659,0.043,2.5,4.586
"St. Louis, MO",2018-06-01 00:00:00,170000,0.03,1735,0.046,2.9,4.57
"St. Louis, MO",2018-07-01 00:00:00,162000,-0.046,1743,0.005,2.9,4.5275
"St. Louis, MO",2018-08-01 00:00:00,166000,0.025,1755,0.006999999999999999,3.2,4.55
"St. Louis, MO",2018-09-01 00:00:00,160000,-0.036000000000000004,1830,0.043,3.9,4.6275
"St. Louis, MO",2018-10-01 00:00:00,152000,-0.05,1806,-0.013000000000000001,3.6,4.83
